택배번호,출발지,출발시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,도착지,도착시간
001P10116,전남 목포시,1,3,45,1,영암 우편집중국,15,29,290,7,중부권 광역우편물류센터,41,52,229,22,수원 우편집중국,64,69,105,2,경기 평택시
001P10117,경기 의왕시,1,4,59,4,안양 우편집중국,16,27,225,18,중부권 광역우편물류센터,39,44,100,18,청주 우편집중국,56,59,58,3,충북 증평군
001P10118,강원 인제군,1,9,150,2,원주 우편집중국,21,34,256,56,중부권 광역우편물류센터,46,62,318,53,울산 우편집중국,74,76,30,15,울산 북구
001P10119,충남 천안시 서북구,1,3,30,2,천안 우편집중국,15,22,133,6,중부권 광역우편물류센터,34,45,216,2,안동 우편집중국,57,61,90,1,경북 영양군
001P10120,충남 금산군,1,9,154,1,천안 우편집중국,21,28,133,39,중부권 광역우편물류센터,40,56,318,11,울산 우편집중국,68,70,30,7,울산 북구
001P10121,경남 거제시,1,8,136,2,창원 우편집중국,20,33,251,35,중부권 광역우편물류센터,45,57,248,93,동서울 우편집중국,69,73,84,7,서울 종로구
001P10122,충남 당진시,1,6,109,1,천안 우편집중국,18,25,133,19,중부권 광역우편물류센터,37,47,192,13,대구 우편집중국,59,63,80,1,경북 고령군
001P10123,대전 유성구,1,3,46,1,대전 우편집중국,15,18,53,4,중부권 광역우편물류센터,30,41,225,1,안양 우편집중국,53,55,49,1,서울 관악구
001P10124,경북 영천시,1,9,168,1,포항 우편집중국,21,35,271,24,중부권 광역우편물류센터,47,52,93,60,전주 우편집중국,64,70,121,6,전북 남원시
001P10125,인천 부평구,1,3,36,1,부천 우편집중국,15,28,253,7,중부권 광역우편물류센터,40,51,218,18,성남 우편집중국,63,66,58,3,경기 용인시 수지구
001P10126,서울 서초구,1,5,79,2,동서울 우편집중국,17,29,248,20,중부권 광역우편물류센터,41,53,233,15,순천 집중과,65,67,47,4,전남 광양시
001P10127,경기 연천군,1,4,55,2,의정부 우편집중국,16,29,261,11,중부권 광역우편물류센터,41,51,202,19,진주 우편집중국,63,65,34,4,경남 진주시
001P10128,경기 연천군,1,4,55,2,의정부 우편집중국,16,29,261,11,중부권 광역우편물류센터,41,44,53,15,대전 우편집중국,56,61,102,2,충남 청양군
001P10129,울산 남구,1,3,30,2,울산 우편집중국,15,31,318,4,중부권 광역우편물류센터,43,57,271,24,포항 우편집중국,69,77,168,7,경북 영천시
001P10130,경기 하남시,1,4,51,2,동서울 우편집중국,16,28,248,7,중부권 광역우편물류센터,40,52,233,8,순천 집중과,64,66,36,2,전남 순천시
001P10131,전북 완주군,1,3,45,3,전주 우편집중국,15,20,93,6,중부권 광역우편물류센터,32,44,233,1,순천 집중과,56,60,84,1,전남 보성군
